Month,DemoInspections
2013-01-01,237
2013-02-01,191
2013-03-01,143
2013-04-01,183
2013-05-01,282
2013-06-01,153
2013-07-01,275
2013-08-01,156
2013-09-01,135
2013-10-01,173
2013-11-01,175
2013-12-01,82
2014-01-01,126
2014-02-01,129
2014-03-01,402
2014-04-01,192
2014-05-01,193
2014-06-01,332
2014-07-01,305
2014-08-01,501
2014-09-01,216
2014-10-01,146
2014-11-01,90
2014-12-01,48
2015-01-01,53
2015-02-01,0
2015-03-01,116
2015-04-01,0
2015-05-01,0
2015-06-01,161
2015-07-01,78
2015-08-01,71
2015-09-01,130
2015-10-01,127
2015-11-01,119
2015-12-01,77
2016-01-01,81
